Date,Close,High,Low,Open,Volume
,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL
2004-08-19,2.4990627765655518,2.5917129694882215,2.3899744892751706,2.4905952929130346,893181924
2004-08-20,2.6975631713867188,2.716741425335079,2.5030480676589604,2.515750362650097,456686856
2004-08-23,2.7247111797332764,2.8263273986767614,2.7159940724673137,2.758334578941002,365122512
2004-08-24,2.611886739730835,2.779504498442421,2.579509555159413,2.7705382423804465,304946748
2004-08-25,2.640031337738037,2.689843213954354,2.5872308675908187,2.6141291621055522,183772044
2004-08-26,2.687600612640381,2.6885969687081537,2.6066565887463287,2.613879043138057,141897960
2004-08-27,2.643766164779663,2.7052842113775037,2.632310086920288,2.6923330062067796,124235640
2004-08-30,2.540656328201294,2.627328868438188,2.540656328201294,2.6220988887263554,103935960
2004-08-31,2.5496222972869873,2.582995836248841,2.544392317676483,2.547878733466018,98357544
2004-09-01,2.496821880340576,2.5645660275186963,2.4823760219450572,2.5578411577291527,182765052
2004-09-02,2.528203010559082,2.5496224130771665,2.464194900494045,2.470421236468461,302373324
2004-09-03,2.490844488143921,2.533931491842596,2.473658709568254,2.5142556534774436,103048848
2004-09-07,2.5299463272094727,2.5404072350197615,2.4808819028463533,2.5157500927478758,116950932
2004-09-08,2.5478787422180176,2.5660596899569112,2.5030479386634776,2.509025363318474,99712188
2004-09-09,2.5481274127960205,2.558089787208519,2.51550155607111,2.5536072526121987,81234684
2004-09-10,2.6233439445495605,2.653978513642344,2.522972752680559,2.530445067581615,173977848
2004-09-13,2.677389621734619,2.7000542905976443,2.6514874481136226,2.6557210716764867,156882960
2004-09-14,2.776764392852783,2.7894666869602025,2.6597059615810807,2.6761445316172052,216579204
2004-09-15,2.789466619491577,2.8450070028684182,2.74463581782993,2.7536020730759097,214261524
2004-09-16,2.838531255722046,2.8841092684858114,2.780749482197495,2.797934311689015,185326488
2004-09-17,2.9262001514434814,2.9262001514434814,2.8280712941569317,2.8497386583795508,189450360
2004-09-20,2.9727745056152344,3.0285635665922044,2.9082678625561647,2.9127513464136805,212575212
2004-09-21,2.934917449951172,2.999175181248393,2.9266986392241106,2.9839818778198706,144575280
2004-09-22,2.9483659267425537,2.980495384769365,2.9092638744679826,2.9239586435396006,151624224
2004-09-23,3.0091378688812256,3.0542173516071482,2.9144942327332584,2.959823575683679,170713116
2004-09-24,2.984480381011963,3.090828995516017,2.9827368171756166,3.012126118492753,182469348
2004-09-27,2.9453773498535156,3.0106311986481873,2.9339210345636624,2.9777554818360006,141322536
2004-09-28,3.159569501876831,3.1730182932019955,2.993944449981233,3.0210926046990196,338581080
2004-09-29,3.264672040939331,3.362801849149317,3.1438785119781003,3.155584450811779,610329060
2004-09-30,3.227811098098755,3.295057661927866,3.2128676545319856,3.235283413092501,275160564
2004-10-01,3.3020310401916504,3.3433744783172203,3.2103771965700165,3.2576980592796065,302497200
2004-10-04,3.363797664642334,3.4088771401456066,3.338144403234036,3.3685300592472536,260455284
2004-10-05,3.4462368488311768,3.4502217987545998,3.293562772698118,3.3538355555371435,299464236
2004-10-06,3.414107322692871,3.448229256581074,3.3872090298761313,3.425813498451488,267628104
2004-10-07,3.4581916332244873,3.4838448961741393,3.400907445268911,3.4101223748479566,282301416
2004-10-08,3.4302968978881836,3.4788627907466094,3.412613535080102,3.4549530922603022,221390388
2004-10-11,3.368778944015503,3.4584403095108045,3.333661842807816,3.4121146181402247,209442348
2004-10-12,3.422076940536499,3.42730810625424,3.322453202597934,3.3483553744619607,233310456
2004-10-13,3.5092484951019287,3.575248840601041,3.488826161259017,3.569521276095479,395324280
2004-10-14,3.5366454124450684,3.5461090153002073,3.4509680461256034,3.511988269625098,208842948
2004-10-15,3.589195966720581,3.6238154831533826,3.535399147372071,3.6096194858564496,263895840
2004-10-18,3.7149717807769775,3.715967899541536,3.516969329266201,3.5665325258323546,280726992
2004-10-19,3.6845862865448,3.795667058869698,3.6698915172067283,3.7483454833704726,362197440
2004-10-20,3.499037027359009,3.7107369406472697,3.4768701816929752,3.6868272430836884,454453092
2004-10-21,3.7204511165618896,3.739130599832291,3.5271810365449787,3.5964200784816236,582996420
2004-10-22,4.294533729553223,4.487306243210495,4.086568859112175,4.247461768880187,1474200324
2004-10-25,4.667375564575195,4.842464203979521,4.297521736361942,4.393409203447434,1309257432
2004-10-26,4.527902603149414,4.797882607476096,4.483072034664622,4.640975143211029,891391716
2004-10-27,4.6317596435546875,4.720175981540954,4.527154833077089,4.550815857393249,533725740
2004-10-28,4.814320087432861,4.841468240472798,4.622545147111033,4.649443202667278,593278128
2004-10-29,4.748071193695068,4.979945747750528,4.74707507479854,4.953545037730166,845653500
2004-11-01,4.8823137283325195,4.923159819130548,4.763761829386831,4.820547244590963,488507004
2004-11-02,4.85342264175415,4.962510218554771,4.815315761506284,4.950804043867056,453398148
2004-11-03,4.77372407913208,5.021039642844291,4.750810498923543,4.935860806175282,554992452
2004-11-04,4.600128650665283,4.742092896153258,4.566505489937263,4.6932773819406055,575807616
2004-11-05,4.217823028564453,4.540354829580499,4.197898278603211,4.532384929596002,792530676
2004-11-08,4.297521114349365,4.369498872688321,4.219067398403149,4.257173800864697,447224328
